80399;0,4089;False;0,665;Dudoso;17711
80400;0,2921;True;0,3172;Dudoso;17711
80401;0,4898;False;0,5106;Dudoso;17711
80402;0,6174;False;0,8157;Dudoso;17711
80403;0,7479;False;0,2142;Definitivamente no;17711
80404;0,0904;True;0,3739;Dudoso;17711
80405;0,8185;False;0,0751;Definitivamente no;17711
80406;0,7207;False;0,4121;Definitivamente no;17711
80407;0,3249;True;0,0597;Definitivamente no;17711
80408;0,1114;True;0,3814;Dudoso;17711
80409;0,4986;False;0,1096;Definitivamente no;17711
80410;0,0291;True;0,3537;Dudoso;17711
80411;0,14;True;0,7136;Definitivamente si;17712
80412;0,6079;False;0,3668;Definitivamente no;17712
80413;0,6711;False;0,1844;Definitivamente no;17712
80414;0,3945;True;0,2915;Definitivamente no;17712
80415;0,8353;False;0,6217;Dudoso;17712
80416;0,8008;False;0,7076;Dudoso;17712
80417;0,6931;False;0,6735;Dudoso;17712
80418;0,8671;False;0,896;Dudoso;17712
80419;0,6406;False;0,79;Dudoso;17712
80420;0,1791;True;0,4698;Dudoso;17712
80421;0,7451;False;0,4882;Definitivamente no;17712
80422;0,4986;False;0,415;Definitivamente no;17712
80423;0,851;False;0,6246;Dudoso;17712
80424;0,8421;False;0,6271;Dudoso;17712
80425;0,2874;True;0,556;Dudoso;17712
80426;0,7871;False;0,8036;Dudoso;17712
80427;0,2666;True;0,6388;Definitivamente si;17713
80428;0,4127;False;0,7364;Dudoso;17713
80429;0,4333;False;0,4626;Definitivamente no;17713
80430;0,9483;False;0,029;Definitivamente no;17713
80431;0,4204;False;0,0356;Definitivamente no;17713
80432;0,9425;False;0,8405;Dudoso;17713
80433;0,2068;True;0,5375;Dudoso;17713
80434;0,3034;True;0,6903;Definitivamente si;17714
80435;0,9961;False;0,2338;Definitivamente no;17714
80436;0,2642;True;0,2624;Definitivamente no;17714
80437;0,6592;False;0,5622;Dudoso;17714
80438;0,2627;True;0,3178;Dudoso;17714
80439;0,2505;True;0,9141;Definitivamente si;17715
80440;0,2907;True;0,5866;Dudoso;17715
80441;0,0444;True;0,5979;Dudoso;17715
80442;0,2481;True;0,7282;Definitivamente si;17716
80443;0,207;True;0,7655;Definitivamente si;17717
80444;0,545;False;0,7245;Dudoso;17717
80445;0,5618;False;0,9547;Definitivamente si;17718
80446;0,1377;True;0,4125;Dudoso;17718
80447;0,0304;True;0,583;Dudoso;17718
80448;0,5175;False;0,6317;Dudoso;17718
80449;0,0118;True;0,6307;Definitivamente si;17719
80450;0,3919;True;0,1013;Definitivamente no;17719
80451;0,3325;True;0,8658;Definitivamente si;17720
80452;0,0117;True;0,1614;Definitivamente no;17720
80453;0,0009;True;0,5059;Dudoso;17720
80454;0,2297;True;0,1951;Definitivamente no;17720
80455;0,5469;False;0,8289;Dudoso;17720
80456;0,9912;False;0,0956;Definitivamente no;17720
80457;0,7664;False;0,1911;Definitivamente no;17720
80458;0,9058;False;0,5871;Dudoso;17720
80459;0,803;False;0,8179;Dudoso;17720
80460;0,0314;True;0,2714;Definitivamente no;17720
80461;0,4541;False;0,7733;Dudoso;17720
80462;0,9122;False;0,3232;Definitivamente no;17720
80463;0,6781;False;0,9187;Definitivamente si;17721
80464;0,5502;False;0,0806;Definitivamente no;17721
80465;0,6086;False;0,3181;Definitivamente no;17721
80466;0,1975;True;0,873;Definitivamente si;17722
80467;0,4011;False;0,8292;Dudoso;17722
80468;0,3677;True;0,4941;Dudoso;17722
80469;0,3984;True;0,0577;Definitivamente no;17722
80470;0,5711;False;0,3593;Definitivamente no;17722
80471;0,1415;True;0,1454;Definitivamente no;17722
80472;0,4304;False;0,3557;Definitivamente no;17722
80473;0,6165;False;0,9818;Definitivamente si;17723
80474;0,3498;True;0,2034;Definitivamente no;17723
80475;0,1347;True;0,8719;Definitivamente si;17724
80476;0,497;False;0,76;Dudoso;17724
80477;0,2915;True;0,6495;Definitivamente si;17725
80478;0,3059;True;0,9001;Definitivamente si;17726
80479;0,2803;True;0,6723;Definitivamente si;17727
80480;0,1496;True;0,1434;Definitivamente no;17727
80481;0,7566;False;0,2206;Definitivamente no;17727
80482;0,7491;False;0,0071;Definitivamente no;17727
80483;0,4009;False;0,1056;Definitivamente no;17727
80484;0,0413;True;0,3613;Dudoso;17727
